304	304
816	816
841	841
1001	1001
1210	1210
1270	1270
1504	1504
1920	1920
2290	2290
2300	2300
2330	2330
2340	2340
2360	2360
2370	2370
2390	2390
2570	2570
2680	2680
2690	2690
2700	2700
2760	2760
2780	2780
2790	2790
2930	2930
3000	3000
3030	3030
3150	3150
3160	3160
3200	3200
3220	3220
3370	3370
3400	3400
3440	3440
3470	3470
3490	3490
3630	3630
3650	3650
3680	3680
3770	3770
3810	3810
3820	3820
3860	3860
3970	3970
4320	4320
4400	4400
4410	4410
4540	4540
4550	4550
4600	4600
4720	4720
4730	4730
4790	4790
4830	4830
6090	6090
6100	6100
6290	6290
6330	6330
6340	6340
6350	6350
6360	6360
6500	6500
6550	6550
6570	6570
6820	6820
7060	7060
7250	7250
7400	7400
7420	7420
7440	7440
7450	7450
7470	7470
7500	7500
7740	7740
7780	7780
7810	7810
7850	7850
7870	7870
7880	7880
7900	7900
7910	7910
7970	7970
7980	7980
7990	7990
8010	8010
8080	8080
8160	8160
8170	8170
8200	8200
8210	8210
8220	8220
8230	8230
8240	8240
8250	8250
8260	8260
8270	8270
8280	8280
8290	8290
8300	8300
8310	8310
8320	8320
8340	8340
8350	8350
8360	8360
8370	8370
8380	8380
8620	8620
8740	8740
8810	8810
8840	8840
9000	9000
9030	9030
9040	9040
9160	9160
9400	9400
9740	9740
9860	9860
9870	9870
9930	9930
9990	9990
10000	10000
10040	10040
10080	10080
10160	10160
10170	10170
10400	10400
10410	10410
10420	10420
10430	10430
10440	10440
10470	10470
10480	10480
10490	10490
10510	10510
10520	10520
10530	10530
10540	10540
10560	10560
10580	10580
10590	10590
10630	10630
10650	10650
10660	10660
10690	10690
10699	10699
10700	10700
11060	11060
11120	11120
11170	11170
11330	11330
11360	11360
11420	11420
11440	11440
11500	11500
11510	11510
11520	11520
11560	11560
11570	11570
11590	11590
11900	11900
11920	11920
12100	12100
12110	12110
12120	12120
12160	12160
12170	12170
12180	12180
12190	12190
12220	12220
12230	12230
12240	12240
12250	12250
12260	12260
12300	12300
12340	12340
12400	12400
12550	12550
12630	12630
12680	12680
12720	12720
12750	12750
12770	12770
12790	12790
12800	12800
12830	12830
12840	12840
12860	12860
13120	13120
13200	13200
13210	13210
13230	13230
13240	13240
13250	13250
13510	13510
13640	13640
13650	13650
13660	13660
15060	15060
15130	15130
15140	15140
15220	15220
15230	15230
15260	15260
15270	15270
15280	15280
15290	15290
15310	15310
15330	15330
15540	15540
15940	15940
15950	15950
15980	15980
15990	15990
16090	16090
16480	16480
17030	17030
17080	17080
17170	17170
17200	17200
17400	17400
17420	17420
17430	17430
17450	17450
17590	17590
17600	17600
17800	17800
17810	17810
18100	18100
18110	18110
18490	18490
19040	19040
19090	19090
19300	19300
19600	19600
19610	19610
19620	19620
19910	19910
19930	19930
19990	19990
20400	20400
20590	20590
20840	20840
21070	21070
21080	21080
21140	21140
21170	21170
21180	21180
21400	21400
21600	21600
21610	21610
21620	21620
21640	21640
21660	21660
21730	21730
21750	21750
21760	21760
21900	21900
21910	21910
21920	21920
21950	21950
21990	21990
22700	22700
23100	23100
23120	23120
23130	23130
23140	23140
23200	23200
23310	23310
23360	23360
23370	23370
23390	23390
23510	23510
24120	24120
24130	24130
24140	24140
24150	24150
24170	24170
24180	24180
24210	24210
24220	24220
24470	24470
24500	24500
24600	24600
24610	24610
24620	24620
24630	24630
24640	24640
24650	24650
24660	24660
24670	24670
24700	24700
24740	24740
24760	24760
24820	24820
24830	24830
24850	24850
24860	24860
24870	24870
24940	24940
24950	24950
24960	24960
25720	25720
25840	25840
25860	25860
25870	25870
25920	25920
25989	25989
26710	26710
27220	27220
27240	27240
27300	27300
27320	27320
27330	27330
27600	27600
28030	28030
28040	28040
28050	28050
28080	28080
29500	29500
29520	29520
29530	29530
29550	29550
29590	29590
29640	29640
29650	29650
29660	29660
29670	29670
29680	29680
29690	29690
31220	31220
31230	31230
31240	31240
31250	31250
31260	31260
31280	31280
31290	31290
31410	31410
31700	31700
31980	31980
32100	32100
32130	32130
32170	32170
32180	32180
32190	32190
32320	32320
32400	32400
32410	32410
32420	32420
32520	32520
32670	32670
32690	32690
32700	32700
32800	32800
33200	33200
33210	33210
33250	33250
33260	33260
33270	33270
33280	33280
33300	33300
33340	33340
33350	33350
33420	33420
33440	33440
33500	33500
33510	33510
33740	33740
33750	33750
33900	33900
34000	34000
34020	34020
34180	34180
34210	34210
34220	34220
34230	34230
34270	34270
34320	34320
34650	34650
34670	34670
34860	34860
35010	35010
35420	35420
35470	35470
35500	35500
35510	35510
35900	35900
36100	36100
36110	36110
36120	36120
36130	36130
36140	36140
36150	36150
36160	36160
36170	36170
36180	36180
36190	36190
36200	36200
36210	36210
36240	36240
36270	36270
36280	36280
36290	36290
36300	36300
36310	36310
36320	36320
36330	36330
36340	36340
36350	36350
36360	36360
36370	36370
36620	36620
37010	37010
37030	37030
37100	37100
37200	37200
37250	37250
37270	37270
37350	37350
37700	37700
37900	37900
37910	37910
37920	37920
37930	37930
37940	37940
37950	37950
37958	37958
38030	38030
38040	38040
38050	38050
38060	38060
38200	38200
38220	38220
38240	38240
38530	38530
38800	38800
38810	38810
38820	38820
38830	38830
38900	38900
39140	39140
39250	39250
39260	39260
39600	39600
39610	39610
39620	39620
39710	39710
40000	40000
40120	40120
40370	40370
40600	40600
40920	40920
41610	41610
41750	41750
42100	42100
42160	42160
42640	42640
42650	42650
42660	42660
42730	42730
42830	42830
42870	42870
42970	42970
43110	43110
43150	43150
43160	43160
44000	44000
44200	44200
44310	44310
44320	44320
44340	44340
44350	44350
44360	44360
45000	45000
45500	45500
45700	45700
45710	45710
45720	45720
45730	45730
45750	45750
45900	45900
46210	46210
46220	46220
46230	46230
46240	46240
46320	46320
46330	46330
46420	46420
46430	46430
46460	46460
47000	47000
47500	47500
47520	47520
47540	47540
47570	47570
47730	47730
47800	47800
47850	47850
47870	47870
47900	47900
47920	47920
48120	48120
48139	48139
48160	48160
48180	48180
48210	48210
49400	49400
49470	49470
49700	49700
50120	50120
50240	50240
50260	50260
50300	50300
50310	50310
50400	50400
50640	50640
50650	50650
50800	50800
50820	50820
50900	50900
50950	50950
51040	51040
51100	51100
55190	55190
55210	55210
55430	55430
55450	55450
57400	57400
57500	57500
57510	57510
57640	57640
57660	57660
57919	57919
57970	57970
58300	58300
58500	58500
58510	58510
58520	58520
58540	58540
58700	58700
58710	58710
58720	58720
58730	58730
58740	58740
58750	58750
58760	58760
58770	58770
58780	58780
60900	60900
61000	61000
61010	61010
61220	61220
61230	61230
61400	61400
61530	61530
61700	61700
63300	63300
63310	63310
63350	63350
63370	63370
63600	63600
63930	63930
63950	63950
65100	65100
65260	65260
65270	65270
65710	65710
65950	65950
70200	70200
70210	70210
71223	71223
71224	71224
71230	71230
71240	71240
71260	71260
71270	71270
71290	71290
71300	71300
71310	71310
71320	71320
71390	71390
71420	71420
72200	72200
72300	72300
72500	72500
72520	72520
72530	72530
72720	72720
72790	72790
73000	73000
73020	73020
73060	73060
73080	73080
73100	73100
73122	73122
73150	73150
73200	73200
73220	73220
90007	90007
90044	90044
90047	90047
90100	90100
90500	90500
90530	90530
90800	90800
91310	91310
92010	92010
92200	92200
92210	92210
92220	92220
93402	93402
93404	93404
94500	94500
94510	94510
94520	94520
94530	94530
95000	95000
95500	95500
96300	96300
96400	96400
97100	97100
97330	97330
98510	98510
98810	98810
99130	99130
99140	99140
99200	99200
99810	99810
99830	99830
99890	99890
99930	99930
102210	102210
102500	102500
102700	102700
102820	102820
104700	104700
105200	105200
105400	105400
105450	105450
107000	107000
107800	107800
108100	108100
108200	108200
108210	108210
110700	110700
111720	111720
111730	111730
111900	111900
149784	149784
198578	198578
200050	200050
200060	200060
200350	200350
200630	200630
200690	200690
200740	200740
200940	200940
201020	201020
201040	201040
201280	201280
201440	201440
201550	201550
201640	201640
201700	201700
201760	201760
201830	201830
202070	202070
202110	202110
202270	202270
202330	202330
202430	202430
202630	202630
202800	202800
202840	202840
202900	202900
203030	203030
203250	203250
203450	203450
203490	203490
203510	203510
203680	203680
203790	203790
203810	203810
203850	203850
204080	204080
204320	204320
204510	204510
204700	204700
204760	204760
204840	204840
204960	204960
205090	205090
205180	205180
205190	205190
205210	205210
205330	205330
205350	205350
205430	205430
205470	205470
205510	205510
205570	205570
205590	205590
205790	205790
205950	205950
206180	206180
206210	206210
206270	206270
206330	206330
206670	206670
206740	206740
206900	206900
206940	206940
206950	206950
206960	206960
206970	206970
206980	206980
207040	207040
207060	207060
207150	207150
207210	207210
207370	207370
207380	207380
207400	207400
207550	207550
207890	207890
207910	207910
208090	208090
208250	208250
208480	208480
208500	208500
208610	208610
208770	208770
208860	208860
209100	209100
209120	209120
209270	209270
209340	209340
209390	209390
209520	209520
209710	209710
209870	209870
209910	209910
209930	209930
210150	210150
210270	210270
210350	210350
210390	210390
210490	210490
210550	210550
210800	210800
210870	210870
210910	210910
210990	210990
211120	211120
211140	211140
211300	211300
211380	211380
211420	211420
211670	211670
211840	211840
211860	211860
211880	211880
212090	212090
212180	212180
212390	212390
212430	212430
212580	212580
212740	212740
212820	212820
213050	213050
213120	213120
213290	213290
213630	213630
213760	213760
213850	213850
214050	214050
214130	214130
214190	214190
214210	214210
214230	214230
214250	214250
214270	214270
214310	214310
214400	214400
214560	214560
214610	214610
214630	214630
214640	214640
215120	215120
215140	215140
215490	215490
215730	215730
215950	215950
216110	216110
216250	216250
216390	216390
216550	216550
216570	216570
216590	216590
216610	216610
216820	216820
217060	217060
217080	217080
217860	217860
217880	217880
218000	218000
218310	218310
218330	218330
218390	218390
218860	218860
218980	218980
219050	219050
219170	219170
219340	219340
219400	219400
219600	219600
219800	219800
219870	219870
219950	219950
220050	220050
220380	220380
220680	220680
221120	221120
221240	221240
221300	221300
221320	221320
221340	221340
221360	221360
221430	221430
221560	221560
221940	221940
221960	221960
222260	222260
222320	222320
222460	222460
222820	222820
222900	222900
222940	222940
223120	223120
223140	223140
223280	223280
223530	223530
223670	223670
224060	224060
224220	224220
224340	224340
224360	224360
224400	224400
224420	224420
224440	224440
224540	224540
224600	224600
224680	224680
224700	224700
224740	224740
224920	224920
225120	225120
225140	225140
225180	225180
225220	225220
225940	225940
225960	225960
226320	226320
226340	226340
226410	226410
226580	226580
226600	226600
226760	226760
226940	226940
227400	227400
227480	227480
227520	227520
227680	227680
227800	227800
227900	227900
227920	227920
227940	227940
228020	228020
228040	228040
228060	228060
228080	228080
228100	228100
228400	228400
228560	228560
228880	228880
228940	228940
229100	229100
230250	230250
230310	230310
231550	231550
231670	231670
231850	231850
231910	231910
231990	231990
232210	232210
232450	232450
232670	232670
232810	232810
233250	233250
233390	233390
234000	234000
234060	234060
234100	234100
234310	234310
234530	234530
234630	234630
234710	234710
234980	234980
235340	235340
235400	235400
235760	235760
236330	236330
236470	236470
236530	236530
236830	236830
236870	236870
237110	237110
237510	237510
237590	237590
237830	237830
238130	238130
239410	239410
239450	239450
239490	239490
239660	239660
239720	239720
240160	240160
240180	240180
240200	240200
240220	240220
240380	240380
240460	240460
240520	240520
241540	241540
241560	241560
241740	241740
241990	241990
242320	242320
242360	242360
242500	242500
242610	242610
242800	242800
243100	243100
243120	243120
243140	243140
243180	243180
243300	243300
243320	243320
243560	243560
243710	243710
243870	243870
244930	244930
245130	245130
245350	245350
245760	245760
246190	246190
246280	246280
246400	246400
246700	246700
247120	247120
247580	247580
247730	247730
247770	247770
248250	248250
248270	248270
248410	248410
248590	248590
248630	248630
248690	248690
249380	249380
249550	249550
250200	250200
250240	250240
250280	250280
250640	250640
250660	250660
250740	250740
250870	250870
251170	251170
251390	251390
251610	251610
251770	251770
251790	251790
251890	251890
252150	252150
252210	252210
252290	252290
252690	252690
252770	252770
252850	252850
252950	252950
253130	253130
253190	253190
253470	253470
253490	253490
254000	254000
254020	254020
254040	254040
254130	254130
254300	254300
254650	254650
255030	255030
255220	255220
255420	255420
255480	255480
255500	255500
255920	255920
256050	256050
256350	256350
256410	256410
256440	256440
257080	257080
257630	257630
257890	257890
257930	257930
258030	258030
258200	258200
258240	258240
258430	258430
258550	258550
258590	258590
258700	258700
258910	258910
259020	259020
259430	259430
259490	259490
259570	259570
259740	259740
259910	259910
260270	260270
260890	260890
261090	261090
261350	261350
261450	261450
261490	261490
261600	261600
261880	261880
263080	263080
263260	263260
263280	263280
263440	263440
263500	263500
263840	263840
264040	264040
264120	264120
264240	264240
264260	264260
265020	265020
265400	265400
265650	265650
265670	265670
265770	265770
266150	266150
266470	266470
266550	266550
266620	266620
266940	266940
267110	267110
267550	267550
267600	267600
267750	267750
267790	267790
268150	268150
268260	268260
268420	268420
268710	268710
268810	268810
268830	268830
268930	268930
269530	269530
269730	269730
269810	269810
270030	270030
270410	270410
270950	270950
271310	271310
271730	271730
272350	272350
272490	272490
272670	272670
272966	272966
273240	273240
273350	273350
274060	274060
274130	274130
274390	274390
274450	274450
274620	274620
275370	275370
275610	275610
276770	276770
277610	277610
277930	277930
278550	278550
280200	280200
280440	280440
280460	280460
280910	280910
281130	281130
281690	281690
282350	282350
282370	282370
282740	282740
282960	282960
283100	283100
283224	283224
283450	283450
283620	283620
284290	284290
284480	284480
284580	284580
284790	284790
284810	284810
285030	285030
285050	285050
285230	285230
285250	285250
285270	285270
285290	285290
285400	285400
285440	285440
285560	285560
285580	285580
285960	285960
286340	286340
286440	286440
286500	286500
286570	286570
286860	286860
286880	286880
286940	286940
287140	287140
287260	287260
287340	287340
287680	287680
287860	287860
288290	288290
288800	288800
289910	289910
290410	290410
290630	290630
290710	290710
290750	290750
291090	291090
291150	291150
291410	291410
291450	291450
291480	291480
292180	292180
292680	292680
293010	293010
293220	293220
293280	293280
293300	293300
293360	293360
293400	293400
293520	293520
293540	293540
293820	293820
294120	294120
295110	295110
295270	295270
295550	295550
295810	295810
295850	295850
295950	295950
296300	296300
296330	296330
296810	296810
297090	297090
297100	297100
297270	297270
297390	297390
297660	297660
297810	297810
298890	298890
299010	299010
299030	299030
299360	299360
299500	299500
299640	299640
299860	299860
299890	299890
300040	300040
300080	300080
300200	300200
300760	300760
300800	300800
300920	300920
301270	301270
301480	301480
301520	301520
301580	301580
301680	301680
301740	301740
301830	301830
301980	301980
302120	302120
302240	302240
302250	302250
302270	302270
302850	302850
303410	303410
303530	303530
303710	303710
303820	303820
303850	303850
304030	304030
